Date,Settle,noise,trend
1990-01-02,6847.0,-61.5039669705302,6908.50396697053
1990-01-03,6887.0,-21.799755630596337,6908.799755630596
1990-01-04,7008.0,98.94289568869499,6909.057104311305
1990-01-05,6950.0,40.7760518139703,6909.22394818603
1990-01-08,6959.0,49.68993826205315,6909.310061737947
1990-01-09,6915.0,5.649295517384417,6909.350704482616
1990-01-10,6887.0,-22.4121921470105,6909.4121921470105
1990-01-11,6893.0,-16.564371267799288,6909.564371267799
1990-01-12,6873.0,-36.863080761559104,6909.863080761559
1990-01-15,6897.0,-13.353806812825496,6910.3538068128255
1990-01-16,6897.0,-14.05899618066178,6911.058996180662
1990-01-17,6897.0,-14.99274949487517,6911.992749494875
1990-01-18,6853.0,-60.160380512658776,6913.160380512659
1990-01-19,6875.0,-39.557832522772514,6914.5578325227725
1990-01-22,6842.0,-74.14344857616015,6916.14344857616
1990-01-23,6868.0,-49.850848078434865,6917.850848078435
1990-01-24,6884.0,-35.56731077985569,6919.567310779856
1990-01-25,6953.0,31.851040349371033,6921.148959650629
1990-01-26,7022.0,99.57031190827547,6922.4296880917245
1990-01-29,7003.0,79.7367035956704,6923.26329640433
1990-01-30,6909.0,-14.565816334577903,6923.565816334578
1990-01-31,6939.0,15.69688493164449,6923.3031150683555
1990-02-01,6914.0,-8.431956156342494,6922.4319561563425
1990-02-02,6884.0,-36.918913702299506,6920.9189137022995
1990-02-05,6918.0,-0.7252918373942521,6918.725291837394
1990-02-06,6891.0,-24.789320371732174,6915.789320371732
1990-02-07,6881.0,-31.048775808016217,6912.048775808016
1990-02-08,6890.0,-17.42594132371778,6907.425941323718
1990-02-09,6917.0,15.176305388575202,6901.823694611425
1990-02-12,6938.0,42.865977849596675,6895.134022150403
1990-02-13,6937.0,49.741604389210806,6887.258395610789
1990-02-14,6939.0,60.87492210112214,6878.125077898878
1990-02-15,6920.0,52.30657957629228,6867.693420423708
1990-02-16,6953.0,97.03917857937086,6855.960821420629
1990-02-20,6896.0,53.04262926277261,6842.957370737227
1990-02-21,6882.0,53.22619229229713,6828.773807707703
1990-02-22,6822.0,8.465976690456955,6813.534023309543
1990-02-23,6803.0,5.604825109587182,6797.395174890413
1990-02-26,6729.0,-51.51971103341475,6780.519711033415
1990-02-27,6733.0,-30.073583337338277,6763.073583337338
1990-02-28,6720.0,-25.190543581577003,6745.190543581577
